"Index","AUROC","District","Month_of_issue","Category","Skill"
"SPI ON",0.73,"Chibuto",5,"Severo","Moderate"
"SPI ON",0.83,"Chibuto",5,"Moderado","Good"
"SPI ON",0.83,"Chibuto",5,"Leve","Good"
"SPI ON",0.59,"Chibuto",6,"Severo","Borderline"
"SPI ND",0.61,"Chibuto",6,"Severo","Moderate"
"SPI OND",0.66,"Chibuto",6,"Severo","Moderate"
"SPI ON",0.66,"Chibuto",6,"Moderado","Moderate"
"SPI ND",0.61,"Chibuto",6,"Moderado","Moderate"
"SPI OND",0.66,"Chibuto",6,"Moderado","Moderate"
"SPI ON",0.69,"Chibuto",6,"Leve","Moderate"
"SPI ND",0.72,"Chibuto",6,"Leve","Moderate"
"SPI OND",0.76,"Chibuto",6,"Leve","Moderate"
"SPI ON",0.37,"Chibuto",7,"Severo","Poor"
"SPI ND",0.73,"Chibuto",7,"Severo","Moderate"
"SPI DJ",0.77,"Chibuto",7,"Severo","Moderate"
"SPI OND",0.89,"Chibuto",7,"Severo","Good"
"SPI NDJ",0.76,"Chibuto",7,"Severo","Moderate"
"SPI ON",0.55,"Chibuto",7,"Moderado","Borderline"
"SPI ND",0.7,"Chibuto",7,"Moderado","Moderate"
"SPI DJ",0.73,"Chibuto",7,"Moderado","Moderate"
"SPI OND",0.85,"Chibuto",7,"Moderado","Good"
"SPI NDJ",0.84,"Chibuto",7,"Moderado","Good"
"SPI ON",0.6,"Chibuto",7,"Leve","Borderline"
"SPI ND",0.58,"Chibuto",7,"Leve","Borderline"
"SPI DJ",0.61,"Chibuto",7,"Leve","Moderate"
"SPI OND",0.78,"Chibuto",7,"Leve","Moderate"
"SPI NDJ",0.6,"Chibuto",7,"Leve","Borderline"
"SPI ON",0.4,"Chibuto",8,"Severo","Poor"
"SPI ND",0.48,"Chibuto",8,"Severo","Poor"
"SPI DJ",0.53,"Chibuto",8,"Severo","Borderline"
"SPI JF",0.75,"Chibuto",8,"Severo","Moderate"
"SPI OND",0.71,"Chibuto",8,"Severo","Moderate"
"SPI NDJ",0.48,"Chibuto",8,"Severo","Poor"
"SPI DJF",0.71,"Chibuto",8,"Severo","Moderate"
"SPI ON",0.43,"Chibuto",8,"Moderado","Poor"
"SPI ND",0.53,"Chibuto",8,"Moderado","Borderline"
"SPI DJ",0.56,"Chibuto",8,"Moderado","Borderline"
"SPI JF",0.6,"Chibuto",8,"Moderado","Borderline"
"SPI OND",0.69,"Chibuto",8,"Moderado","Moderate"
"SPI NDJ",0.5,"Chibuto",8,"Moderado","Poor"
"SPI DJF",0.58,"Chibuto",8,"Moderado","Borderline"
"SPI ON",0.36,"Chibuto",8,"Leve","Poor"
"SPI ND",0.58,"Chibuto",8,"Leve","Borderline"
"SPI DJ",0.67,"Chibuto",8,"Leve","Moderate"
"SPI JF",0.61,"Chibuto",8,"Leve","Moderate"
"SPI OND",0.57,"Chibuto",8,"Leve","Borderline"
"SPI NDJ",0.67,"Chibuto",8,"Leve","Moderate"
"SPI DJF",0.69,"Chibuto",8,"Leve","Moderate"
"SPI ON",0.41,"Chibuto",9,"Severo","Poor"
"SPI ND",0.66,"Chibuto",9,"Severo","Moderate"
"SPI DJ",0.82,"Chibuto",9,"Severo","Good"
"SPI JF",0.52,"Chibuto",9,"Severo","Borderline"
"SPI FM",0.3,"Chibuto",9,"Severo","Poor"
"SPI OND",0.8,"Chibuto",9,"Severo","Moderate"
"SPI NDJ",0.87,"Chibuto",9,"Severo","Good"
"SPI DJF",0.75,"Chibuto",9,"Severo","Moderate"
"SPI JFM",0.54,"Chibuto",9,"Severo","Borderline"
"SPI ON",0.49,"Chibuto",9,"Moderado","Poor"
"SPI ND",0.67,"Chibuto",9,"Moderado","Moderate"
"SPI DJ",0.85,"Chibuto",9,"Moderado","Good"
"SPI JF",0.48,"Chibuto",9,"Moderado","Poor"
"SPI FM",0.45,"Chibuto",9,"Moderado","Poor"
"SPI OND",0.77,"Chibuto",9,"Moderado","Moderate"
"SPI NDJ",0.8,"Chibuto",9,"Moderado","Moderate"
"SPI DJF",0.66,"Chibuto",9,"Moderado","Moderate"
"SPI JFM",0.55,"Chibuto",9,"Moderado","Borderline"
"SPI ON",0.53,"Chibuto",9,"Leve","Borderline"
"SPI ND",0.63,"Chibuto",9,"Leve","Moderate"
"SPI DJ",0.72,"Chibuto",9,"Leve","Moderate"
"SPI JF",0.47,"Chibuto",9,"Leve","Poor"
"SPI FM",0.56,"Chibuto",9,"Leve","Borderline"
"SPI OND",0.66,"Chibuto",9,"Leve","Moderate"
"SPI NDJ",0.73,"Chibuto",9,"Leve","Moderate"
"SPI DJF",0.69,"Chibuto",9,"Leve","Moderate"
"SPI JFM",0.55,"Chibuto",9,"Leve","Borderline"
"SPI ON",0.53,"Chibuto",10,"Severo","Borderline"
"SPI ND",0.56,"Chibuto",10,"Severo","Borderline"
"SPI DJ",0.74,"Chibuto",10,"Severo","Moderate"
"SPI JF",0.83,"Chibuto",10,"Severo","Good"
"SPI FM",0.35,"Chibuto",10,"Severo","Poor"
"SPI OND",0.58,"Chibuto",10,"Severo","Borderline"
"SPI NDJ",0.64,"Chibuto",10,"Severo","Moderate"
"SPI DJF",0.53,"Chibuto",10,"Severo","Borderline"
"SPI JFM",0.79,"Chibuto",10,"Severo","Moderate"
"SPI ON",0.49,"Chibuto",10,"Moderado","Poor"
"SPI ND",0.56,"Chibuto",10,"Moderado","Borderline"
"SPI DJ",0.8,"Chibuto",10,"Moderado","Moderate"
"SPI JF",0.65,"Chibuto",10,"Moderado","Moderate"
"SPI FM",0.48,"Chibuto",10,"Moderado","Poor"
"SPI OND",0.58,"Chibuto",10,"Moderado","Borderline"
"SPI NDJ",0.63,"Chibuto",10,"Moderado","Moderate"
"SPI DJF",0.54,"Chibuto",10,"Moderado","Borderline"
"SPI JFM",0.77,"Chibuto",10,"Moderado","Moderate"
"SPI ON",0.48,"Chibuto",10,"Leve","Poor"
"SPI ND",0.62,"Chibuto",10,"Leve","Moderate"
"SPI DJ",0.67,"Chibuto",10,"Leve","Moderate"
"SPI JF",0.65,"Chibuto",10,"Leve","Moderate"
"SPI FM",0.62,"Chibuto",10,"Leve","Moderate"
"SPI OND",0.61,"Chibuto",10,"Leve","Moderate"
"SPI NDJ",0.75,"Chibuto",10,"Leve","Moderate"
"SPI DJF",0.59,"Chibuto",10,"Leve","Borderline"
"SPI JFM",0.74,"Chibuto",10,"Leve","Moderate"
"SPI ND",0.54,"Chibuto",11,"Severo","Borderline"
"SPI DJ",0.71,"Chibuto",11,"Severo","Moderate"
"SPI JF",0.58,"Chibuto",11,"Severo","Borderline"
"SPI FM",0.41,"Chibuto",11,"Severo","Poor"
"SPI NDJ",0.67,"Chibuto",11,"Severo","Moderate"
"SPI DJF",0.63,"Chibuto",11,"Severo","Moderate"
"SPI JFM",0.49,"Chibuto",11,"Severo","Poor"
"SPI ND",0.57,"Chibuto",11,"Moderado","Borderline"
"SPI DJ",0.77,"Chibuto",11,"Moderado","Moderate"
"SPI JF",0.64,"Chibuto",11,"Moderado","Moderate"
"SPI FM",0.47,"Chibuto",11,"Moderado","Poor"
"SPI NDJ",0.71,"Chibuto",11,"Moderado","Moderate"
"SPI DJF",0.67,"Chibuto",11,"Moderado","Moderate"
"SPI JFM",0.51,"Chibuto",11,"Moderado","Borderline"
"SPI ND",0.63,"Chibuto",11,"Leve","Moderate"
"SPI DJ",0.7,"Chibuto",11,"Leve","Moderate"
"SPI JF",0.59,"Chibuto",11,"Leve","Borderline"
"SPI FM",0.42,"Chibuto",11,"Leve","Poor"
"SPI NDJ",0.86,"Chibuto",11,"Leve","Good"
"SPI DJF",0.72,"Chibuto",11,"Leve","Moderate"
"SPI JFM",0.42,"Chibuto",11,"Leve","Poor"
"SPI DJ",0.8,"Chibuto",12,"Severo","Moderate"
"SPI JF",0.68,"Chibuto",12,"Severo","Moderate"
"SPI FM",0.38,"Chibuto",12,"Severo","Poor"
"SPI DJF",0.49,"Chibuto",12,"Severo","Poor"
"SPI JFM",0.67,"Chibuto",12,"Severo","Moderate"
"SPI DJ",0.73,"Chibuto",12,"Moderado","Moderate"
"SPI JF",0.62,"Chibuto",12,"Moderado","Moderate"
"SPI FM",0.51,"Chibuto",12,"Moderado","Borderline"
"SPI DJF",0.62,"Chibuto",12,"Moderado","Moderate"
"SPI JFM",0.65,"Chibuto",12,"Moderado","Moderate"
"SPI DJ",0.66,"Chibuto",12,"Leve","Moderate"
"SPI JF",0.66,"Chibuto",12,"Leve","Moderate"
"SPI FM",0.56,"Chibuto",12,"Leve","Borderline"
"SPI DJF",0.6,"Chibuto",12,"Leve","Borderline"
"SPI JFM",0.63,"Chibuto",12,"Leve","Moderate"
"SPI JF",0.74,"Chibuto",1,"Severo","Moderate"
"SPI FM",0.32,"Chibuto",1,"Severo","Poor"
"SPI JFM",0.66,"Chibuto",1,"Severo","Moderate"
"SPI JF",0.78,"Chibuto",1,"Moderado","Moderate"
"SPI FM",0.38,"Chibuto",1,"Moderado","Poor"
"SPI JFM",0.68,"Chibuto",1,"Moderado","Moderate"
"SPI JF",0.76,"Chibuto",1,"Leve","Moderate"
"SPI FM",0.48,"Chibuto",1,"Leve","Poor"
"SPI JFM",0.7,"Chibuto",1,"Leve","Moderate"
"SPI FM",0.52,"Chibuto",2,"Severo","Borderline"
"SPI FM",0.59,"Chibuto",2,"Moderado","Borderline"
"SPI FM",0.71,"Chibuto",2,"Leve","Moderate"
"SPI ON",0.73,"Guija",5,"Severo","Moderate"
"SPI ON",0.8,"Guija",5,"Moderado","Moderate"
"SPI ON",0.83,"Guija",5,"Leve","Good"
"SPI ON",0.62,"Guija",6,"Severo","Moderate"
"SPI ND",0.64,"Guija",6,"Severo","Moderate"
"SPI OND",0.73,"Guija",6,"Severo","Moderate"
"SPI ON",0.63,"Guija",6,"Moderado","Moderate"
"SPI ND",0.62,"Guija",6,"Moderado","Moderate"
"SPI OND",0.7,"Guija",6,"Moderado","Moderate"
"SPI ON",0.78,"Guija",6,"Leve","Moderate"
"SPI ND",0.75,"Guija",6,"Leve","Moderate"
"SPI OND",0.7,"Guija",6,"Leve","Moderate"
"SPI ON",0.49,"Guija",7,"Severo","Poor"
"SPI ND",0.68,"Guija",7,"Severo","Moderate"
"SPI DJ",0.78,"Guija",7,"Severo","Moderate"
"SPI OND",0.9,"Guija",7,"Severo","Good"
"SPI NDJ",0.88,"Guija",7,"Severo","Good"
"SPI ON",0.6,"Guija",7,"Moderado","Borderline"
"SPI ND",0.67,"Guija",7,"Moderado","Moderate"
