"Index","AUROC","District","Month_of_issue","Category","Skill"
"SPI ON",0.73,"Chibuto","05","Severo","Moderate"
"SPI ON",0.83,"Chibuto","05","Moderado","Good"
"SPI ON",0.83,"Chibuto","05","Leve","Good"
"SPI ON",0.59,"Chibuto","06","Severo","Borderline"
"SPI ND",0.61,"Chibuto","06","Severo","Moderate"
"SPI OND",0.66,"Chibuto","06","Severo","Moderate"
"SPI ON",0.66,"Chibuto","06","Moderado","Moderate"
"SPI ND",0.61,"Chibuto","06","Moderado","Moderate"
"SPI OND",0.66,"Chibuto","06","Moderado","Moderate"
"SPI ON",0.69,"Chibuto","06","Leve","Moderate"
"SPI ND",0.72,"Chibuto","06","Leve","Moderate"
"SPI OND",0.76,"Chibuto","06","Leve","Moderate"
"SPI ON",0.37,"Chibuto","07","Severo","Poor"
"SPI ND",0.73,"Chibuto","07","Severo","Moderate"
"SPI DJ",0.77,"Chibuto","07","Severo","Moderate"
"SPI OND",0.89,"Chibuto","07","Severo","Good"
"SPI NDJ",0.76,"Chibuto","07","Severo","Moderate"
"SPI ON",0.55,"Chibuto","07","Moderado","Borderline"
"SPI ND",0.7,"Chibuto","07","Moderado","Moderate"
"SPI DJ",0.73,"Chibuto","07","Moderado","Moderate"
"SPI OND",0.85,"Chibuto","07","Moderado","Good"
"SPI NDJ",0.84,"Chibuto","07","Moderado","Good"
"SPI ON",0.6,"Chibuto","07","Leve","Borderline"
"SPI ND",0.58,"Chibuto","07","Leve","Borderline"
"SPI DJ",0.61,"Chibuto","07","Leve","Moderate"
"SPI OND",0.78,"Chibuto","07","Leve","Moderate"
"SPI NDJ",0.6,"Chibuto","07","Leve","Borderline"
"SPI ON",0.4,"Chibuto","08","Severo","Poor"
"SPI ND",0.48,"Chibuto","08","Severo","Poor"
"SPI DJ",0.53,"Chibuto","08","Severo","Borderline"
"SPI JF",0.75,"Chibuto","08","Severo","Moderate"
"SPI OND",0.71,"Chibuto","08","Severo","Moderate"
"SPI NDJ",0.48,"Chibuto","08","Severo","Poor"
