"Index","Trigger","Value","Month_of_issue","District","Category"
"SPI ON",0,9,"05","Chibuto","Severo"
"SPI ON",0.06,8.66666666666667,"05","Chibuto","Severo"
"SPI ON",0.07,8.33333333333333,"05","Chibuto","Severo"
"SPI ON",0.08,8,"05","Chibuto","Severo"
"SPI ON",0.1,7,"05","Chibuto","Severo"
"SPI ON",0.12,6.66666666666667,"05","Chibuto","Severo"
"SPI ON",0.13,6.33333333333333,"05","Chibuto","Severo"
"SPI ON",0.14,5.33333333333333,"05","Chibuto","Severo"
"SPI ON",0.15,4.66666666666667,"05","Chibuto","Severo"
"SPI ON",0.16,3.66666666666667,"05","Chibuto","Severo"
"SPI ON",0.18,3.33333333333333,"05","Chibuto","Severo"
"SPI ON",0.19,3,"05","Chibuto","Severo"
"SPI ON",0.2,2,"05","Chibuto","Severo"
"SPI ON",0.21,1.66666666666667,"05","Chibuto","Severo"
"SPI ON",0.22,1.33333333333333,"05","Chibuto","Severo"
"SPI ON",0.25,0.666666666666667,"05","Chibuto","Severo"
"SPI ON",0.26,0.333333333333333,"05","Chibuto","Severo"
"SPI ON",0.27,0,"05","Chibuto","Severo"
"SPI ON",0.02,5.4,"05","Chibuto","Moderado"
"SPI ON",0.08,5.2,"05","Chibuto","Moderado"
"SPI ON",0.1,4.8,"05","Chibuto","Moderado"
"SPI ON",0.11,4.6,"05","Chibuto","Moderado"
"SPI ON",0.12,4.4,"05","Chibuto","Moderado"
"SPI ON",0.16,3.8,"05","Chibuto","Moderado"
"SPI ON",0.17,3.4,"05","Chibuto","Moderado"
"SPI ON",0.18,3.2,"05","Chibuto","Moderado"
"SPI ON",0.19,3,"05","Chibuto","Moderado"
"SPI ON",0.2,2.6,"05","Chibuto","Moderado"
"SPI ON",0.22,1.6,"05","Chibuto","Moderado"
"SPI ON",0.26,1.4,"05","Chibuto","Moderado"
"SPI ON",0.27,1.2,"05","Chibuto","Moderado"
"SPI ON",0.3,0.6,"05","Chibuto","Moderado"
"SPI ON",0.31,0.4,"05","Chibuto","Moderado"
"SPI ON",0.32,0,"05","Chibuto","Moderado"
"SPI ON",0.04,5.4,"05","Chibuto","Leve"
"SPI ON",0.09,5.2,"05","Chibuto","Leve"
"SPI ON",0.12,5,"05","Chibuto","Leve"
"SPI ON",0.14,4.6,"05","Chibuto","Leve"
"SPI ON",0.17,4.4,"05","Chibuto","Leve"
"SPI ON",0.18,4.2,"05","Chibuto","Leve"
"SPI ON",0.19,4,"05","Chibuto","Leve"
"SPI ON",0.2,3.8,"05","Chibuto","Leve"
"SPI ON",0.21,3.4,"05","Chibuto","Leve"
"SPI ON",0.22,3.2,"05","Chibuto","Leve"
"SPI ON",0.23,2.8,"05","Chibuto","Leve"
"SPI ON",0.26,2.6,"05","Chibuto","Leve"
"SPI ON",0.28,2.4,"05","Chibuto","Leve"
"SPI ON",0.29,2.2,"05","Chibuto","Leve"
"SPI ON",0.32,1.4,"05","Chibuto","Leve"
"SPI ON",0.34,1.2,"05","Chibuto","Leve"
"SPI ON",0.36,0.8,"05","Chibuto","Leve"
"SPI ON",0.38,0.4,"05","Chibuto","Leve"
"SPI ON",0.41,0.2,"05","Chibuto","Leve"
"SPI ON",0.42,0,"05","Chibuto","Leve"
"SPI ON",0.04,8.66666666666667,"06","Chibuto","Severo"
"SPI ON",0.06,8,"06","Chibuto","Severo"
"SPI ON",0.07,7.33333333333333,"06","Chibuto","Severo"
"SPI ON",0.1,6.33333333333333,"06","Chibuto","Severo"
"SPI ON",0.11,6,"06","Chibuto","Severo"
"SPI ON",0.12,5.33333333333333,"06","Chibuto","Severo"
"SPI ON",0.14,5,"06","Chibuto","Severo"
"SPI ON",0.15,4.33333333333333,"06","Chibuto","Severo"
"SPI ON",0.16,3.66666666666667,"06","Chibuto","Severo"
"SPI ON",0.17,3,"06","Chibuto","Severo"
"SPI ON",0.18,2,"06","Chibuto","Severo"
"SPI ON",0.21,1.66666666666667,"06","Chibuto","Severo"
"SPI ON",0.24,1,"06","Chibuto","Severo"
"SPI ON",0.26,0.666666666666667,"06","Chibuto","Severo"
"SPI ON",0.28,0.333333333333333,"06","Chibuto","Severo"
"SPI ON",0.3,0,"06","Chibuto","Severo"
"SPI ND",0.03,4.33333333333333,"06","Chibuto","Severo"
"SPI ND",0.07,4.16666666666667,"06","Chibuto","Severo"
"SPI ND",0.09,3.66666666666667,"06","Chibuto","Severo"
"SPI ND",0.1,3.5,"06","Chibuto","Severo"
"SPI ND",0.11,3.33333333333333,"06","Chibuto","Severo"
"SPI ND",0.12,3.16666666666667,"06","Chibuto","Severo"
"SPI ND",0.13,3,"06","Chibuto","Severo"
"SPI ND",0.15,2.83333333333333,"06","Chibuto","Severo"
"SPI ND",0.16,2.16666666666667,"06","Chibuto","Severo"
"SPI ND",0.17,2,"06","Chibuto","Severo"
"SPI ND",0.18,1.5,"06","Chibuto","Severo"
"SPI ND",0.2,1,"06","Chibuto","Severo"
"SPI ND",0.22,0.833333333333333,"06","Chibuto","Severo"
"SPI ND",0.23,0.5,"06","Chibuto","Severo"
"SPI ND",0.27,0.333333333333333,"06","Chibuto","Severo"
"SPI ND",0.28,0.166666666666667,"06","Chibuto","Severo"
"SPI ND",0.31,0,"06","Chibuto","Severo"
"SPI OND",0.01,5.4,"06","Chibuto","Severo"
"SPI OND",0.03,5,"06","Chibuto","Severo"
"SPI OND",0.05,4.8,"06","Chibuto","Severo"
"SPI OND",0.09,4.6,"06","Chibuto","Severo"
"SPI OND",0.1,4.2,"06","Chibuto","Severo"
"SPI OND",0.12,4,"06","Chibuto","Severo"
"SPI OND",0.13,3.8,"06","Chibuto","Severo"
"SPI OND",0.14,2.8,"06","Chibuto","Severo"
"SPI OND",0.16,2.2,"06","Chibuto","Severo"
"SPI OND",0.18,1.6,"06","Chibuto","Severo"
"SPI OND",0.2,1.4,"06","Chibuto","Severo"
"SPI OND",0.21,1.2,"06","Chibuto","Severo"
"SPI OND",0.25,1,"06","Chibuto","Severo"
"SPI OND",0.26,0.8,"06","Chibuto","Severo"
"SPI OND",0.28,0.6,"06","Chibuto","Severo"
"SPI OND",0.29,0.2,"06","Chibuto","Severo"
"SPI OND",0.35,0,"06","Chibuto","Severo"
"SPI ON",0.05,5.4,"06","Chibuto","Moderado"
"SPI ON",0.09,5.2,"06","Chibuto","Moderado"
"SPI ON",0.1,5,"06","Chibuto","Moderado"
"SPI ON",0.12,4.8,"06","Chibuto","Moderado"
"SPI ON",0.13,4.4,"06","Chibuto","Moderado"
"SPI ON",0.15,3.8,"06","Chibuto","Moderado"
"SPI ON",0.16,3.6,"06","Chibuto","Moderado"
"SPI ON",0.18,3,"06","Chibuto","Moderado"
"SPI ON",0.2,2.4,"06","Chibuto","Moderado"
"SPI ON",0.21,1.8,"06","Chibuto","Moderado"
"SPI ON",0.22,1.2,"06","Chibuto","Moderado"
"SPI ON",0.24,1,"06","Chibuto","Moderado"
"SPI ON",0.26,0.8,"06","Chibuto","Moderado"
"SPI ON",0.29,0.6,"06","Chibuto","Moderado"
"SPI ON",0.3,0.4,"06","Chibuto","Moderado"
"SPI ON",0.33,0.2,"06","Chibuto","Moderado"
"SPI ON",0.34,0,"06","Chibuto","Moderado"
"SPI ND",0.05,4.33333333333333,"06","Chibuto","Moderado"
"SPI ND",0.1,4.16666666666667,"06","Chibuto","Moderado"
"SPI ND",0.12,3.83333333333333,"06","Chibuto","Moderado"
"SPI ND",0.14,3.5,"06","Chibuto","Moderado"
"SPI ND",0.16,3.16666666666667,"06","Chibuto","Moderado"
"SPI ND",0.17,3,"06","Chibuto","Moderado"
"SPI ND",0.18,2.66666666666667,"06","Chibuto","Moderado"
"SPI ND",0.19,2.33333333333333,"06","Chibuto","Moderado"
"SPI ND",0.2,2.16666666666667,"06","Chibuto","Moderado"
"SPI ND",0.22,1.66666666666667,"06","Chibuto","Moderado"
"SPI ND",0.23,1.33333333333333,"06","Chibuto","Moderado"
"SPI ND",0.24,1.16666666666667,"06","Chibuto","Moderado"
"SPI ND",0.25,1,"06","Chibuto","Moderado"
"SPI ND",0.26,0.833333333333333,"06","Chibuto","Moderado"
"SPI ND",0.3,0.666666666666667,"06","Chibuto","Moderado"
"SPI ND",0.31,0.5,"06","Chibuto","Moderado"
"SPI ND",0.32,0.333333333333333,"06","Chibuto","Moderado"
"SPI ND",0.33,0.166666666666667,"06","Chibuto","Moderado"
"SPI ND",0.38,0,"06","Chibuto","Moderado"
"SPI OND",0.04,5.4,"06","Chibuto","Moderado"
"SPI OND",0.06,5.2,"06","Chibuto","Moderado"
"SPI OND",0.07,5,"06","Chibuto","Moderado"
"SPI OND",0.11,4.8,"06","Chibuto","Moderado"
"SPI OND",0.12,4.4,"06","Chibuto","Moderado"
"SPI OND",0.14,3.8,"06","Chibuto","Moderado"
"SPI OND",0.16,3.4,"06","Chibuto","Moderado"
"SPI OND",0.17,3.2,"06","Chibuto","Moderado"
"SPI OND",0.18,2.6,"06","Chibuto","Moderado"
"SPI OND",0.19,2.2,"06","Chibuto","Moderado"
"SPI OND",0.2,1.8,"06","Chibuto","Moderado"
"SPI OND",0.22,1.4,"06","Chibuto","Moderado"
"SPI OND",0.26,1.2,"06","Chibuto","Moderado"
"SPI OND",0.29,0.8,"06","Chibuto","Moderado"
"SPI OND",0.3,0.6,"06","Chibuto","Moderado"
"SPI OND",0.31,0.2,"06","Chibuto","Moderado"
"SPI OND",0.38,0,"06","Chibuto","Moderado"
"SPI ON",0.07,5.4,"06","Chibuto","Leve"
"SPI ON",0.16,4.8,"06","Chibuto","Leve"
"SPI ON",0.18,4.6,"06","Chibuto","Leve"
"SPI ON",0.2,4,"06","Chibuto","Leve"
"SPI ON",0.21,3.4,"06","Chibuto","Leve"
"SPI ON",0.22,2.8,"06","Chibuto","Leve"
"SPI ON",0.24,2.2,"06","Chibuto","Leve"
"SPI ON",0.25,2,"06","Chibuto","Leve"
"SPI ON",0.26,1.8,"06","Chibuto","Leve"
"SPI ON",0.28,1.4,"06","Chibuto","Leve"
"SPI ON",0.3,1.2,"06","Chibuto","Leve"
"SPI ON",0.31,1,"06","Chibuto","Leve"
"SPI ON",0.34,0.6,"06","Chibuto","Leve"
"SPI ON",0.36,0.4,"06","Chibuto","Leve"
"SPI ON",0.38,0,"06","Chibuto","Leve"
"SPI ND",0.1,3.25,"06","Chibuto","Leve"
"SPI ND",0.15,3.125,"06","Chibuto","Leve"
"SPI ND",0.17,2.875,"06","Chibuto","Leve"
"SPI ND",0.18,2.75,"06","Chibuto","Leve"
"SPI ND",0.2,2.625,"06","Chibuto","Leve"
"SPI ND",0.21,2.125,"06","Chibuto","Leve"
"SPI ND",0.22,1.875,"06","Chibuto","Leve"
"SPI ND",0.23,1.75,"06","Chibuto","Leve"
"SPI ND",0.25,1.5,"06","Chibuto","Leve"
"SPI ND",0.26,1.25,"06","Chibuto","Leve"
"SPI ND",0.28,1,"06","Chibuto","Leve"
"SPI ND",0.3,0.75,"06","Chibuto","Leve"
"SPI ND",0.31,0.625,"06","Chibuto","Leve"
"SPI ND",0.32,0.5,"06","Chibuto","Leve"
"SPI ND",0.34,0.375,"06","Chibuto","Leve"
"SPI ND",0.35,0.25,"06","Chibuto","Leve"
"SPI ND",0.36,0.125,"06","Chibuto","Leve"
"SPI ND",0.42,0,"06","Chibuto","Leve"
"SPI OND",0.07,4.5,"06","Chibuto","Leve"
"SPI OND",0.08,4.33333333333333,"06","Chibuto","Leve"
"SPI OND",0.13,4.16666666666667,"06","Chibuto","Leve"
"SPI OND",0.17,3.83333333333333,"06","Chibuto","Leve"
"SPI OND",0.18,3.66666666666667,"06","Chibuto","Leve"
