"Index","Trigger","Value","Month_of_issue","District","Category"
"SPI ON",0,0.00884942699960178,5,"Chibuto","Severo"
"SPI ON",0.06,0.0182924040792061,5,"Chibuto","Severo"
"SPI ON",0.07,0.0283907193892841,5,"Chibuto","Severo"
"SPI ON",0.08,0.0392150455057924,5,"Chibuto","Severo"
"SPI ON",0.1,0.0769216681013168,5,"Chibuto","Severo"
"SPI ON",0.12,0.0916013053186008,5,"Chibuto","Severo"
"SPI ON",0.13,0.107567578335093,5,"Chibuto","Severo"
"SPI ON",0.14,0.0366964060457329,5,"Chibuto","Severo"
"SPI ON",0.15,0.0714267493176195,5,"Chibuto","Severo"
"SPI ON",0.16,0.141099966258704,5,"Chibuto","Severo"
"SPI ON",0.18,0.171047005032729,5,"Chibuto","Severo"
"SPI ON",0.19,0.205666465728166,5,"Chibuto","Severo"
"SPI ON",0.2,0.351835563168372,5,"Chibuto","Severo"
"SPI ON",0.21,0.422658625844029,5,"Chibuto","Severo"
"SPI ON",0.22,0.186035695599093,5,"Chibuto","Severo"
"SPI ON",0.25,-0.0937426763534099,5,"Chibuto","Severo"
"SPI ON",0.26,-0.0565984341099896,5,"Chibuto","Severo"
"SPI ON",0.27,0,5,"Chibuto","Severo"
"SPI ON",0.02,0.0159741857158831,5,"Chibuto","Moderado"
"SPI ON",0.08,0.0328941958191477,5,"Chibuto","Moderado"
"SPI ON",0.1,0.0699288473977728,5,"Chibuto","Moderado"
"SPI ON",0.11,0.0902510785003881,5,"Chibuto","Moderado"
"SPI ON",0.12,0.11193821010802,5,"Chibuto","Moderado"
"SPI ON",0.16,0.186718117881372,5,"Chibuto","Moderado"
"SPI ON",0.17,0.121073518530975,5,"Chibuto","Moderado"
"SPI ON",0.18,0.149529216607089,5,"Chibuto","Moderado"
"SPI ON",0.19,0.180483402843833,5,"Chibuto","Moderado"
"SPI ON",0.2,0.251330178337478,5,"Chibuto","Moderado"
"SPI ON",0.22,0.507024400549276,5,"Chibuto","Moderado"
"SPI ON",0.26,0.368407202736739,5,"Chibuto","Moderado"
"SPI ON",0.27,0.435466311842264,5,"Chibuto","Moderado"
"SPI ON",0.3,0.422658625844029,5,"Chibuto","Moderado"
"SPI ON",0.31,0.522697574001477,5,"Chibuto","Moderado"
"SPI ON",0.32,0,5,"Chibuto","Moderado"
"SPI ON",0.04,0.0159741857158831,5,"Chibuto","Leve"
"SPI ON",0.09,0.0328941958191477,5,"Chibuto","Leve"
"SPI ON",0.12,0.0508465958204098,5,"Chibuto","Leve"
"SPI ON",0.14,0.0902510785003881,5,"Chibuto","Leve"
"SPI ON",0.17,0.11193821010802,5,"Chibuto","Leve"
"SPI ON",0.18,0.135132526399104,5,"Chibuto","Leve"
"SPI ON",0.19,0.0479990400191996,5,"Chibuto","Leve"
"SPI ON",0.2,0.0705379556440738,5,"Chibuto","Leve"
"SPI ON",0.21,0.121073518530975,5,"Chibuto","Leve"
"SPI ON",0.22,0.149529216607089,5,"Chibuto","Leve"
"SPI ON",0.23,0.214280247952858,5,"Chibuto","Leve"
"SPI ON",0.26,0.251330178337478,5,"Chibuto","Leve"
"SPI ON",0.28,0.292126625656583,5,"Chibuto","Leve"
"SPI ON",0.29,0.337268128161889,5,"Chibuto","Leve"
"SPI ON",0.32,0.57892560430059,5,"Chibuto","Leve"
"SPI ON",0.34,0.661263658723439,5,"Chibuto","Leve"
"SPI ON",0.36,0.603745106362907,5,"Chibuto","Leve"
"SPI ON",0.38,0.204533833304926,5,"Chibuto","Leve"
"SPI ON",0.41,0.291120815138282,5,"Chibuto","Leve"
"SPI ON",0.42,0,5,"Chibuto","Leve"
"SPI ON",0.04,0.0182924040792061,6,"Chibuto","Severo"
"SPI ON",0.06,0.0392150455057924,6,"Chibuto","Severo"
"SPI ON",0.07,-0.0352106476998644,6,"Chibuto","Severo"
"SPI ON",0.1,-0.00398398438278122,6,"Chibuto","Severo"
"SPI ON",0.11,0.00833315972583904,6,"Chibuto","Severo"
"SPI ON",0.12,0.0366964060457329,6,"Chibuto","Severo"
"SPI ON",0.14,0.053138813072148,6,"Chibuto","Severo"
"SPI ON",0.15,0.0918894083943677,6,"Chibuto","Severo"
"SPI ON",0.16,-0.0306739057084139,6,"Chibuto","Severo"
"SPI ON",0.17,0.00709194709407468,6,"Chibuto","Severo"
"SPI ON",0.18,0.09258830609694,6,"Chibuto","Severo"
"SPI ON",0.21,0.134013710633473,6,"Chibuto","Severo"
"SPI ON",0.24,0.253316445570295,6,"Chibuto","Severo"
"SPI ON",0.26,0.34372314662917,6,"Chibuto","Severo"
"SPI ON",0.28,0.471653617583247,6,"Chibuto","Severo"
"SPI ON",0.3,0,6,"Chibuto","Severo"
"SPI ND",0.03,-0.0547935823016729,6,"Chibuto","Severo"
"SPI ND",0.07,-0.0352106476998644,6,"Chibuto","Severo"
"SPI ND",0.09,0.0307686390646334,6,"Chibuto","Severo"
"SPI ND",0.1,0.0555544532846571,6,"Chibuto","Severo"
"SPI ND",0.11,0.0819655334931661,6,"Chibuto","Severo"
"SPI ND",0.12,0.110167157475477,6,"Chibuto","Severo"
"SPI ND",0.13,0.140347799390364,6,"Chibuto","Severo"
"SPI ND",0.15,0.172723347196655,6,"Chibuto","Severo"
"SPI ND",0.16,0.180846254088987,6,"Chibuto","Severo"
"SPI ND",0.17,0.0666648148662537,6,"Chibuto","Severo"
"SPI ND",0.18,0.0128201019198103,6,"Chibuto","Severo"
"SPI ND",0.2,0.151509412522253,6,"Chibuto","Severo"
"SPI ND",0.22,0.20966896496109,6,"Chibuto","Severo"
"SPI ND",0.23,0.351835563168372,6,"Chibuto","Severo"
"SPI ND",0.27,0.15999200039998,6,"Chibuto","Severo"
"SPI ND",0.28,-0.0652138470735286,6,"Chibuto","Severo"
"SPI ND",0.31,0,6,"Chibuto","Severo"
"SPI OND",0.01,0.0159741857158831,6,"Chibuto","Severo"
"SPI OND",0.03,0.0508465958204098,6,"Chibuto","Severo"
"SPI OND",0.05,0.0699288473977728,6,"Chibuto","Severo"
"SPI OND",0.09,0.0902510785003881,6,"Chibuto","Severo"
"SPI OND",0.1,0.135132526399104,6,"Chibuto","Severo"
"SPI OND",0.12,0.159996800063999,6,"Chibuto","Severo"
"SPI OND",0.13,0.0705379556440738,6,"Chibuto","Severo"
"SPI OND",0.14,0.0714267493176195,6,"Chibuto","Severo"
"SPI OND",0.16,0.171592556433242,6,"Chibuto","Severo"
"SPI OND",0.18,0.309848244780113,6,"Chibuto","Severo"
"SPI OND",0.2,0.157888801172888,6,"Chibuto","Severo"
"SPI OND",0.21,0.20966896496109,6,"Chibuto","Severo"
"SPI OND",0.25,0.269553497674014,6,"Chibuto","Severo"
"SPI OND",0.26,0.0754681382953634,6,"Chibuto","Severo"
"SPI OND",0.28,-0.154631204577084,6,"Chibuto","Severo"
"SPI OND",0.29,-0.0632871337257136,6,"Chibuto","Severo"
"SPI OND",0.35,0,6,"Chibuto","Severo"
"SPI ON",0.05,0.0159741857158831,6,"Chibuto","Moderado"
"SPI ON",0.09,0.0328941958191477,6,"Chibuto","Moderado"
"SPI ON",0.1,-0.0440670497110218,6,"Chibuto","Moderado"
"SPI ON",0.12,-0.0279715389591091,6,"Chibuto","Moderado"
"SPI ON",0.13,0.00746254734053469,6,"Chibuto","Moderado"
"SPI ON",0.15,0.0705379556440738,6,"Chibuto","Moderado"
"SPI ON",0.16,0.0948255425529622,6,"Chibuto","Moderado"
"SPI ON",0.18,0.180483402843833,6,"Chibuto","Moderado"
"SPI ON",0.2,0.292126625656583,6,"Chibuto","Moderado"
"SPI ON",0.21,0.258269593722062,6,"Chibuto","Moderado"
"SPI ON",0.22,-0.0161283819200839,6,"Chibuto","Moderado"
"SPI ON",0.24,0.0260858223555498,6,"Chibuto","Moderado"
"SPI ON",0.26,0.0754681382953634,6,"Chibuto","Moderado"
"SPI ON",0.29,0.134013710633473,6,"Chibuto","Moderado"
"SPI ON",0.3,0.204533833304926,6,"Chibuto","Moderado"
"SPI ON",0.33,0.291120815138282,6,"Chibuto","Moderado"
"SPI ON",0.34,0,6,"Chibuto","Moderado"
"SPI ND",0.05,-0.0547935823016729,6,"Chibuto","Moderado"
"SPI ND",0.1,-0.0352106476998644,6,"Chibuto","Moderado"
"SPI ND",0.12,0.00746254734053469,6,"Chibuto","Moderado"
"SPI ND",0.14,0.0555544532846571,6,"Chibuto","Moderado"
"SPI ND",0.16,0.110167157475477,6,"Chibuto","Moderado"
"SPI ND",0.17,0.140347799390364,6,"Chibuto","Moderado"
"SPI ND",0.18,0.0754699181623075,6,"Chibuto","Moderado"
"SPI ND",0.19,0.142853498635239,6,"Chibuto","Moderado"
"SPI ND",0.2,0.180846254088987,6,"Chibuto","Moderado"
"SPI ND",0.22,0.146337001920673,6,"Chibuto","Moderado"
"SPI ND",0.23,0.0540522279652714,6,"Chibuto","Moderado"
"SPI ND",0.24,0.099996428698975,6,"Chibuto","Moderado"
"SPI ND",0.25,0.151509412522253,6,"Chibuto","Moderado"
"SPI ND",0.26,0.20966896496109,6,"Chibuto","Moderado"
"SPI ND",0.3,0.2758501788716,6,"Chibuto","Moderado"
"SPI ND",0.31,0.09258830609694,6,"Chibuto","Moderado"
"SPI ND",0.32,0.15999200039998,6,"Chibuto","Moderado"
"SPI ND",0.33,-0.0652138470735286,6,"Chibuto","Moderado"
