"Trigger","Index","Value","Month_of_issue","District","Category"
0,"SPI ON",0.04,"05","Chibuto","Severo"
0.06,"SPI ON",0.08,"05","Chibuto","Severo"
0.07,"SPI ON",0.12,"05","Chibuto","Severo"
0.08,"SPI ON",0.16,"05","Chibuto","Severo"
0.1,"SPI ON",0.28,"05","Chibuto","Severo"
0.12,"SPI ON",0.32,"05","Chibuto","Severo"
0.13,"SPI ON",0.36,"05","Chibuto","Severo"
0.14,"SPI ON",0.106666666666667,"05","Chibuto","Severo"
0.15,"SPI ON",0.186666666666667,"05","Chibuto","Severo"
0.16,"SPI ON",0.306666666666667,"05","Chibuto","Severo"
0.18,"SPI ON",0.346666666666667,"05","Chibuto","Severo"
0.19,"SPI ON",0.386666666666667,"05","Chibuto","Severo"
0.2,"SPI ON",0.506666666666667,"05","Chibuto","Severo"
0.21,"SPI ON",0.546666666666667,"05","Chibuto","Severo"
0.22,"SPI ON",0.213333333333333,"05","Chibuto","Severo"
0.25,"SPI ON",-0.08,"05","Chibuto","Severo"
0.26,"SPI ON",-0.04,"05","Chibuto","Severo"
0.27,"SPI ON",0,"05","Chibuto","Severo"
0.02,"SPI ON",0.0434782608695652,"05","Chibuto","Moderado"
0.08,"SPI ON",0.0869565217391305,"05","Chibuto","Moderado"
0.1,"SPI ON",0.173913043478261,"05","Chibuto","Moderado"
0.11,"SPI ON",0.217391304347826,"05","Chibuto","Moderado"
0.12,"SPI ON",0.260869565217391,"05","Chibuto","Moderado"
0.16,"SPI ON",0.391304347826087,"05","Chibuto","Moderado"
0.17,"SPI ON",0.234782608695652,"05","Chibuto","Moderado"
0.18,"SPI ON",0.278260869565217,"05","Chibuto","Moderado"
0.19,"SPI ON",0.321739130434783,"05","Chibuto","Moderado"
0.2,"SPI ON",0.408695652173913,"05","Chibuto","Moderado"
0.22,"SPI ON",0.626086956521739,"05","Chibuto","Moderado"
0.26,"SPI ON",0.426086956521739,"05","Chibuto","Moderado"
0.27,"SPI ON",0.469565217391304,"05","Chibuto","Moderado"
0.3,"SPI ON",0.356521739130435,"05","Chibuto","Moderado"
0.31,"SPI ON",0.4,"05","Chibuto","Moderado"
0.32,"SPI ON",0,"05","Chibuto","Moderado"
0.04,"SPI ON",0.0434782608695652,"05","Chibuto","Leve"
0.09,"SPI ON",0.0869565217391305,"05","Chibuto","Leve"
0.12,"SPI ON",0.130434782608696,"05","Chibuto","Leve"
0.14,"SPI ON",0.217391304347826,"05","Chibuto","Leve"
0.17,"SPI ON",0.260869565217391,"05","Chibuto","Leve"
0.18,"SPI ON",0.304347826086957,"05","Chibuto","Leve"
0.19,"SPI ON",0.104347826086957,"05","Chibuto","Leve"
0.2,"SPI ON",0.147826086956522,"05","Chibuto","Leve"
0.21,"SPI ON",0.234782608695652,"05","Chibuto","Leve"
0.22,"SPI ON",0.278260869565217,"05","Chibuto","Leve"
0.23,"SPI ON",0.365217391304348,"05","Chibuto","Leve"
0.26,"SPI ON",0.408695652173913,"05","Chibuto","Leve"
0.28,"SPI ON",0.452173913043478,"05","Chibuto","Leve"
0.29,"SPI ON",0.495652173913044,"05","Chibuto","Leve"
0.32,"SPI ON",0.669565217391304,"05","Chibuto","Leve"
0.34,"SPI ON",0.71304347826087,"05","Chibuto","Leve"
0.36,"SPI ON",0.556521739130435,"05","Chibuto","Leve"
0.38,"SPI ON",0.156521739130435,"05","Chibuto","Leve"
0.41,"SPI ON",0.2,"05","Chibuto","Leve"
0.42,"SPI ON",0,"05","Chibuto","Leve"
0.04,"SPI ON",0.08,"06","Chibuto","Severo"
0.06,"SPI ON",0.16,"06","Chibuto","Severo"
0.07,"SPI ON",-0.133333333333333,"06","Chibuto","Severo"
0.1,"SPI ON",-0.0133333333333334,"06","Chibuto","Severo"
0.11,"SPI ON",0.0266666666666666,"06","Chibuto","Severo"
0.12,"SPI ON",0.106666666666667,"06","Chibuto","Severo"
0.14,"SPI ON",0.146666666666667,"06","Chibuto","Severo"
0.15,"SPI ON",0.226666666666667,"06","Chibuto","Severo"
0.16,"SPI ON",-0.0666666666666667,"06","Chibuto","Severo"
0.17,"SPI ON",0.0133333333333333,"06","Chibuto","Severo"
0.18,"SPI ON",0.133333333333333,"06","Chibuto","Severo"
0.21,"SPI ON",0.173333333333333,"06","Chibuto","Severo"
0.24,"SPI ON",0.253333333333333,"06","Chibuto","Severo"
0.26,"SPI ON",0.293333333333333,"06","Chibuto","Severo"
0.28,"SPI ON",0.333333333333333,"06","Chibuto","Severo"
0.3,"SPI ON",0,"06","Chibuto","Severo"
0.03,"SPI ND",-0.121212121212121,"06","Chibuto","Severo"
0.07,"SPI ND",-0.0757575757575757,"06","Chibuto","Severo"
0.09,"SPI ND",0.0606060606060607,"06","Chibuto","Severo"
0.1,"SPI ND",0.106060606060606,"06","Chibuto","Severo"
0.11,"SPI ND",0.151515151515152,"06","Chibuto","Severo"
0.12,"SPI ND",0.196969696969697,"06","Chibuto","Severo"
0.13,"SPI ND",0.242424242424242,"06","Chibuto","Severo"
0.15,"SPI ND",0.287878787878788,"06","Chibuto","Severo"
0.16,"SPI ND",0.257575757575758,"06","Chibuto","Severo"
0.17,"SPI ND",0.0909090909090909,"06","Chibuto","Severo"
0.18,"SPI ND",0.0151515151515151,"06","Chibuto","Severo"
0.2,"SPI ND",0.151515151515151,"06","Chibuto","Severo"
0.22,"SPI ND",0.196969696969697,"06","Chibuto","Severo"
0.23,"SPI ND",0.287878787878788,"06","Chibuto","Severo"
0.27,"SPI ND",0.121212121212121,"06","Chibuto","Severo"
0.28,"SPI ND",-0.0454545454545455,"06","Chibuto","Severo"
0.31,"SPI ND",0,"06","Chibuto","Severo"
0.01,"SPI OND",0.0434782608695652,"06","Chibuto","Severo"
0.03,"SPI OND",0.130434782608696,"06","Chibuto","Severo"
0.05,"SPI OND",0.173913043478261,"06","Chibuto","Severo"
0.09,"SPI OND",0.217391304347826,"06","Chibuto","Severo"
0.1,"SPI OND",0.304347826086957,"06","Chibuto","Severo"
0.12,"SPI OND",0.347826086956522,"06","Chibuto","Severo"
0.13,"SPI OND",0.147826086956522,"06","Chibuto","Severo"
0.14,"SPI OND",0.121739130434783,"06","Chibuto","Severo"
0.16,"SPI OND",0.252173913043478,"06","Chibuto","Severo"
0.18,"SPI OND",0.382608695652174,"06","Chibuto","Severo"
0.2,"SPI OND",0.182608695652174,"06","Chibuto","Severo"
0.21,"SPI OND",0.226086956521739,"06","Chibuto","Severo"
0.25,"SPI OND",0.269565217391304,"06","Chibuto","Severo"
0.26,"SPI OND",0.0695652173913044,"06","Chibuto","Severo"
0.28,"SPI OND",-0.130434782608696,"06","Chibuto","Severo"
0.29,"SPI OND",-0.0434782608695652,"06","Chibuto","Severo"
0.35,"SPI OND",0,"06","Chibuto","Severo"
0.05,"SPI ON",0.0434782608695652,"06","Chibuto","Moderado"
0.09,"SPI ON",0.0869565217391305,"06","Chibuto","Moderado"
0.1,"SPI ON",-0.113043478260869,"06","Chibuto","Moderado"
0.12,"SPI ON",-0.0695652173913043,"06","Chibuto","Moderado"
0.13,"SPI ON",0.0173913043478261,"06","Chibuto","Moderado"
0.15,"SPI ON",0.147826086956522,"06","Chibuto","Moderado"
0.16,"SPI ON",0.191304347826087,"06","Chibuto","Moderado"
0.18,"SPI ON",0.321739130434783,"06","Chibuto","Moderado"
0.2,"SPI ON",0.452173913043478,"06","Chibuto","Moderado"
0.21,"SPI ON",0.339130434782609,"06","Chibuto","Moderado"
0.22,"SPI ON",-0.0173913043478261,"06","Chibuto","Moderado"
0.24,"SPI ON",0.0260869565217391,"06","Chibuto","Moderado"
0.26,"SPI ON",0.0695652173913044,"06","Chibuto","Moderado"
0.29,"SPI ON",0.11304347826087,"06","Chibuto","Moderado"
0.3,"SPI ON",0.156521739130435,"06","Chibuto","Moderado"
0.33,"SPI ON",0.2,"06","Chibuto","Moderado"
0.34,"SPI ON",0,"06","Chibuto","Moderado"
0.05,"SPI ND",-0.121212121212121,"06","Chibuto","Moderado"
0.1,"SPI ND",-0.0757575757575757,"06","Chibuto","Moderado"
