"Years","Accumulation","District","Value"
"1981","JF","Chibuto",318.97
"1982","JF","Chibuto",193.67
"1983","JF","Chibuto",127.47
"1984","JF","Chibuto",302.07
"1985","JF","Chibuto",352.53
"1986","JF","Chibuto",142.88
"1987","JF","Chibuto",133.46
"1988","JF","Chibuto",131.07
"1989","JF","Chibuto",139.2
"1990","JF","Chibuto",265.4
"1991","JF","Chibuto",227.14
"1992","JF","Chibuto",116.91
"1993","JF","Chibuto",227.21
"1994","JF","Chibuto",201.4
"1995","JF","Chibuto",118.42
"1996","JF","Chibuto",384.38
"1997","JF","Chibuto",350.49
"1998","JF","Chibuto",270.33
"1999","JF","Chibuto",425.41
"2000","JF","Chibuto",618.97
"2001","JF","Chibuto",262.63
"2002","JF","Chibuto",62.47
"2003","JF","Chibuto",188.46
"2004","JF","Chibuto",259.81
"2005","JF","Chibuto",127.43
"2006","JF","Chibuto",233.38
"2007","JF","Chibuto",181.74
"2008","JF","Chibuto",118.13
"2009","JF","Chibuto",184.13
"2010","JF","Chibuto",163.04
"2011","JF","Chibuto",414.4
"2012","JF","Chibuto",129.74
"2013","JF","Chibuto",466.81
"2014","JF","Chibuto",180.51
"2015","JF","Chibuto",177.25
"2016","JF","Chibuto",88.29
"2017","JF","Chibuto",418.96
"2018","JF","Chibuto",253.8
"2019","JF","Chibuto",331.49
"2020","JF","Chibuto",272.17
"2021","JF","Chibuto",562.48
"1981","FM","Chibuto",276.72
"1982","FM","Chibuto",172.21
"1983","FM","Chibuto",80.37
"1984","FM","Chibuto",159.64
"1985","FM","Chibuto",219.8
"1986","FM","Chibuto",102.1
"1987","FM","Chibuto",126.77
"1988","FM","Chibuto",191.95
"1989","FM","Chibuto",165.28
"1990","FM","Chibuto",214.64
"1991","FM","Chibuto",274.12
"1992","FM","Chibuto",70.36
"1993","FM","Chibuto",291.56
"1994","FM","Chibuto",71.1
"1995","FM","Chibuto",150.5
"1996","FM","Chibuto",172.85
"1997","FM","Chibuto",235.49
"1998","FM","Chibuto",96.78
"1999","FM","Chibuto",327.84
"2000","FM","Chibuto",551.19
